Treatment	HFD_control	LFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_UnT	FVT_PyT	FVT_SDT	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_PyT	HFD_control	HFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_UnT	HFD_control	LFD_control	FVT_PyT	FVT_PyT	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_SDT	LFD_control	FVT_PyT	FVT_ChP	FVT_UnT	FVT_SDT	FVT_PyT	HFD_control	HFD_control	HFD_control	LFD_control	FVT_PyT	LFD_control	FVT_UnT	HFD_control	FVT_UnT	FVT_UnT	FVT_PyT
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Allobaculum	0.013189425	0.206596155	0.109370997	0	0.057998253	0	0	0.062281635	0.082904188	0.046824592	0.123553565	0.070469435	0	0.08665992	0.003534744	0.074101621	0	0.010698636	0.136909528	4.61904E-05	0	0	0.028648206	0	0	0	0.001945633	0.064715372	0	0.165294056	0.029385574	1.90473E-05	0.037012455	0	0	0	0.042225917	0.000915053	0.01464328	0.075869183	0	0.119432798	0	0.008955436	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae	0.000198039	0.000430451	5.12356E-05	0.000209278	0.000132893	6.55938E-05	0.000133967	8.68037E-05	0	3.07248E-05	9.33184E-05	2.70724E-05	0	0.000383837	6.99949E-05	0.000212508	0.000349141	5.69076E-05	0	0.000369524	0.000323401	4.63736E-05	0.000161463	7.9321E-05	0.000102561	7.6771E-05	0.000166769	9.21871E-05	9.96214E-05	7.03903E-05	7.57848E-05	0.000285709	9.76067E-05	6.75516E-05	0.00003125	0.000185845	1.74993E-05	7.62544E-05	0.000160036	0.000225657	0.000127419	0	0.000129887	7.10236E-05	7.3119E-05	0.000194497	3.30044E-05
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae|Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Macrococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae	0.057213586	0.017279547	0.068587434	0.028950122	0.01822531	0.077138359	0.034295666	0.027343157	0.014873289	0.010077734	0.028765398	0.010666522	0.010501521	0.045973201	0.028662922	0.022568375	0.046875949	0.023939147	0.020816653	0.050301393	0.075395628	0.02508811	0.037205762	0.02819862	0.098235958	0.035621749	0.057785313	0.020004609	0.02746231	0.014887551	0.072071389	0.036761205	0.010092531	0.032678083	0.01459375	0.055552114	0.0453233	0.01622312	0.045994303	0.035960091	0.036332526	0.030429541	0.033597437	0.019363628	0.018157888	0.019997878	0.023070068
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Facklamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]|Finegoldia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter|rhizosphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria|4C0d-2|YS2	1.98039E-05	0	1.70785E-05	0	0	0	1.67459E-05	0	0.000271039	0	0	2.70724E-05	0	0	1.74987E-05	0	1.518E-05	3.79384E-05	0	2.30952E-05	0	0	0.000230662	0	0	0	0	4.60936E-05	0	0	0	0	0	0	0	0	0	1.90636E-05	0	0.000338486	0	5.3985E-05	0	8.3937E-05	0	0	0
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|cc_115	0	0	0	0	0	0	0	4.34018E-05	0	0	6.99888E-05	0	0	0	0	0	0	7.58769E-05	0	0.000438809	0	0	8.07317E-05	0	0	0	0.000222358	0	0	1.75976E-05	0	0	5.8564E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000141453	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	0.000633726	6.14931E-05	0.00011955	0.000883618	1.89847E-05	8.74585E-05	8.37297E-05	2.17009E-05	0	0	0.000139978	2.70724E-05	5.8887E-05	6.97885E-05	0.000612456	0.000106254	0.001214403	9.48461E-05	0	0.000230952	0.000539002	0.001089779	6.91986E-05	0	0.000752111	0.00076771	0.000277948	0.000230468	0.000132829	0	0	1.90473E-05	0.000195213	0.000118215	0.000890625	0.000216819	0.000489982	0.000324081	0.000272061	0	0.000218432	5.3985E-05	1.44319E-05	5.81103E-05	0.000438714	0.000760308	0.000264035
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Klebsiella	1.98039E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65022E-05
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|firmus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09741E-05	1.74993E-05	1.90636E-05	1.60036E-05	0	1.82027E-05	0	0.000404093	2.58268E-05	0	0	4.95066E-05
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Moraxella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|reuteri	0.002039806	0	0.000102471	0	0.00658769	2.18646E-05	1.67459E-05	0.000911439	0.00010164	0.00614496	0.032521463	0.04131247	0	0.002337916	0.014243967	4.25016E-05	0.00013662	0.025248022	0.017376864	0.00101619	0	0.007558894	0.00014993	0.003212501	0	0	0.000250153	0.016224937	0.01338248	0.025710062	0	0.001276166	0.022254324	0	0.000796875	0	0.004199843	0.000285954	0.005105144	0.001708548	0	0.000125965	0	0.000297008	0.005727656	0.009636467	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Actinobacillus|porcinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae	0.001980394	0.000676424	0.002168975	0.000325544	0.000246801	0.001246283	0.001172215	0.001475662	0.002032796	0.003133929	0.00174972	0.001218258	0.000314064	0.000715333	0.002082349	0.000850033	0.002671686	0.001517537	0.002698455	0.001224047	0.001444526	0.00925153	0.001326306	0.000991513	0.002085399	0.001036409	0.002167992	0.000898825	0.001461114	0.000739098	0.002576685	0.003485648	0.000488033	0.001300368	0.000234375	0.001207991	0.00054248	0.001925423	0.000560125	0.002820715	0.000200229	0.005020604	0.015095756	0.003150867	0.00073119	0.001379164	0.002376316
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Serratia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|sciuri	0	0.003402616	0.010434991	9.30124E-05	0.000512587	0.005509883	0.001188961	0.005794145	0.002642635	0.002273635	0.000116648	0.000758027	0	0.000628097	0	0.002380092	0.003051187	0.00193486	0.005189337	0.004110949	0.000582122	0	0.000172996	0.000475926	3.41869E-05	0.019307909	0.00997832	0.000391795	0.012552301	0.002270088	0.006593282	0.002533285	0.001190802	0.002887831	0.03490625	0.003205823	0	0.002935794	0.001648369	0.022049935	0.001474416	0.018984722	0.000317502	0.03354253	0.016256794	0.032534125	0.021023796
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	0	0	0	4.65062E-05	0.000151878	0	0	0	0.000338799	0	0.000163307	0	0	0	0	6.37525E-05	0.000242881	3.79384E-05	0	0	0	0	0.00018453	0.000436266	0.000324775	3.83855E-05	5.55895E-05	0	0	0	0	0.000590465	9.76067E-05	0.000523525	0.000203125	0.000294254	0	3.81272E-05	6.40143E-05	0.000306249	0.000145621	5.3985E-05	0.001096824	0.000962048	0	3.53632E-05	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae|Propionibacterium|acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74471E-05	0	0	1.518E-05	0	0	2.30952E-05	0	0	0	0	1.70934E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64053E-05	0	4.32957E-05	0	0	1.76816E-05	1.65022E-05
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|zeae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Oscillospira	0.013248837	0.005698356	0.020460096	0.042227648	0.019933933	0.025909568	0.017834416	0.012825243	0.043705109	0.01447138	0.013881112	0.011641128	0.004907253	0.010450834	0.015696362	0.028773615	0.034261339	0.016598061	0.012068914	0.017367607	0.021538528	0.022212948	0.024023435	0.011541207	0.021349697	0.01938468	0.016287731	0.006821848	0.009298001	0.004364199	0.016994752	0.026075694	0.008804123	0.031191948	0.00915625	0.023710702	0.012022049	0.015918103	0.016547707	0.028319982	0.016582631	0.021558007	0.036555974	0.027970403	0.018304126	0.014693401	0.014818971
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90473E-05	1.95213E-05	1.68879E-05	0	1.54871E-05	0	0	0	0	0	0	1.44319E-05	0	0	0	0
Bacteria|Tenericutes|RF3|ML615J-28||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia|faecis	0	0	0	0	0	0	0	0	3.38799E-05	0	2.33296E-05	0	0	0	0	0	3.03601E-05	1.89692E-05	0	0	0	0	2.30662E-05	7.9321E-05	1.70934E-05	0	0	0	0	0	0	3.80945E-05	0	5.06637E-05	0.000015625	1.54871E-05	0	0	1.60036E-05	0	1.82027E-05	0	0.000173183	6.45669E-05	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|	0	0	0	0	0	0	1.67459E-05	2.17009E-05	0	3.07248E-05	0	0	1.9629E-05	0	0	0	0	0	0	2.30952E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000046875	0	1.74993E-05	3.81272E-05	0	0	0	0	1.44319E-05	6.45669E-06	0	0	0
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Holdemania|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Coprobacillus	0	0	8.53927E-05	2.32531E-05	0	0	8.37297E-05	0	3.38799E-05	0	6.99888E-05	2.70724E-05	0	0	3.49975E-05	4.25016E-05	1.518E-05	7.58769E-05	0	2.30952E-05	6.46803E-05	0	0.000253728	0	0	1.91928E-05	2.77948E-05	2.30468E-05	0	0	0	0	0	0.000236431	0.00015625	0	1.74993E-05	0	0	1.61184E-05	0	1.7995E-05	0	6.45669E-06	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|CandidatusArthromitus	1.98039E-05	0	0	0	0	0	1.67459E-05	8.68037E-05	0	3.07248E-05	0	0	0	0	1.74987E-05	0	0	1.89692E-05	0	2.30952E-05	0	0	2.30662E-05	0.00154676	0.000341869	0	2.77948E-05	0	0	0	1.89462E-05	0	0	1.68879E-05	0	0.000139384	0	0	1.60036E-05	3.22367E-05	1.82027E-05	0	0.00046182	0	0	0.000229861	8.2511E-05
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Ruminococcus|gnavus	0.003980592	0.000409954	0.001127184	0.002534589	0.002145271	0.003148504	0.002846808	0.002104989	0.006267787	0.001505515	0.001913027	0.00135362	0.001040338	0.001657478	0.006107057	0.004738934	0.001776064	0.002598782	0.001364054	0.001939999	0.003794575	0.00911241	0.00223742	0.003053859	0.003367406	0.001170758	0.002029018	0.000967965	0.000630936	0.000686306	0.002216707	0.003161845	0.001991176	0.000709292	0.002265625	0.005606319	0.002362411	0.004098673	0.001536344	0.001773021	0.001346997	0.00190747	0.006451054	0.002576221	0.004192157	0.001361482	0.001105647
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.081829884	0.052925019	0.123904838	0.0347634	0.002980598	0.113805317	0.208034698	0.059655823	0.061390432	0.03720773	0.040336879	0.020954031	0.00814604	0.027863075	0.063975362	0.04388295	0.027627664	0.047442002	0.019630519	0.039469734	0.078780561	0.119226489	0.09724705	0.035892758	0.074407713	0.021188799	0.042470399	0.012468311	0.027097031	0.009027558	0.114094087	0.046361022	0.016476008	0.059276522	0.00959375	0.026808115	0.013999475	0.040166997	0.053387959	0.069518544	0.067786738	0.122581922	0.247290413	0.103307119	0.016817373	0.031367141	0.055166837
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Phascolarctobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75976E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Odoribacter	0.000376275	0.000102488	0.000444042	0.000186025	5.69541E-05	0.000677803	0.001138723	0.000108505	0.000406559	0.000215074	0.000209966	0.000460231	0.000215919	0.000436178	1.74987E-05	0.000425016	0	0.001005368	0.00062272	0.000115476	6.46803E-05	0.003570766	0.000276794	7.9321E-05	0.00223924	0.001036409	0.000333537	9.21871E-05	0.000963007	0.000175976	0.000871526	0.001352355	0.000429469	0	0.000140625	0.000185845	6.99974E-05	0.001086625	0.000272061	0.00277236	1.82027E-05	0.00086376	0.003636836	0.001478583	0.000584952	0.000495085	0.001534704
Bacteria|Firmicutes|Bacilli|Bacillales	3.96079E-05	4.09954E-05	0	0	0	0	1.67459E-05	0	0	0	0	0	1.9629E-05	0	0	2.12508E-05	1.518E-05	0	0	6.92857E-05	0	0	3.45993E-05	0	1.70934E-05	0	0	0	0	0	0	1.90473E-05	1.95213E-05	1.68879E-05	0	3.09741E-05	0	0	3.20072E-05	0	1.82027E-05	0	0	0	2.4373E-05	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Corynebacteriaceae|Corynebacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|[Tissierellaceae]|Anaerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Aerococcus	0	0	0	0	0	0	0	2.17009E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76816E-05	0
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Sporosarcina	0	0.001291354	0.000102471	9.30124E-05	1.89847E-05	0	0	0	0	0	2.33296E-05	0	3.9258E-05	0	0	0.000127505	0	3.79384E-05	0	2.30952E-05	0.000366521	0	0.00014993	3.96605E-05	5.12803E-05	0	8.33843E-05	0	0.00023245	1.75976E-05	1.89462E-05	1.90473E-05	3.90427E-05	0	0	1.54871E-05	0	0	1.60036E-05	0.000128947	0	0	0	2.58268E-05	0.00024373	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Dialister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|anthracis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales	0.059451431	0.063317345	0.111488737	0.176932915	0.170045943	0.149991254	0.104913256	0.107050628	0.137281474	0.139429133	0.063129899	0.090963236	0.08679949	0.163741364	0.069819938	0.210680664	0.174418605	0.054555456	0.073807194	0.074759232	0.083006339	0.120455389	0.112770595	0.151899738	0.086834638	0.151238892	0.112902329	0.017215948	0.178754068	0.092932812	0.089501904	0.116931106	0.093136298	0.094555342	0.1433125	0.137819421	0.126380261	0.180627574	0.105175559	0.118405571	0.115768972	0.128088391	0.091830108	0.169507612	0.15932633	0.053009407	0.056041454
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|cereus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95213E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Haloplasmatales|Haloplasmataceae	0	0	0	0	0	0	0	4.34018E-05	0	0	0	0	0	0	1.74987E-05	2.12508E-05	0	0	0	0	0	6.95604E-05	2.30662E-05	3.96605E-05	1.70934E-05	0	0	0	0	0	0	0	0	0	0	1.54871E-05	0	1.90636E-05	0	0	0	0	2.88638E-05	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae|Fusobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Mucispirillum|schaedleri	0.000514902	0.006887222	0.017744607	0.04306476	0.113186771	0.000174917	0.003198473	0.000195308	0.026663505	0.033336406	0.000676558	0.003573556	9.81451E-05	0.00024426	0.000367473	0.104469048	0.043627421	0.000588046	0.001808854	0.091757315	0.002263809	0.0270358	0.076406749	0.033433807	0.000307682	0.006909391	0.005586747	9.21871E-05	9.96214E-05	0.001689368	0.00039787	0.015085427	0.021336821	0.000489749	0.023109375	0.005482422	0.008627176	0.087883178	0.000640143	0.047033413	0.001401605	0.006082309	0.002785355	0.000981418	0.020546443	0.000265224	0.003003399
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Erwinia	0.001089217	0.000840405	0.000256178	0.000930124	0.000873296	0.000393563	0.000552616	0.000585925	0.00023716	6.14496E-05	0.000396603	0.000541448	0.000314064	0.001134064	0.00041997	0.000552521	0.001184043	0.000531138	8.89601E-05	0.001177856	0.001272045	0.000278242	0.00063432	0.000634568	0.000957232	0.000422241	0.00063928	0.000991012	0.000199243	0.000140781	0.000303139	0.001352355	0.000370905	0.001401696	0.000703125	0.000619483	0.000454983	0.000457526	0.001600358	0.000660853	0.000855525	5.3985E-05	0.001486485	0.000884567	0.000194984	0.000654219	0.000693092
Bacteria|Spirochaetes|Spirochaetes|Sphaerochaetales|Sphaerochaetaceae|Sphaerochaeta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides|distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Jeotgalicoccus|psychrophilus	0	2.04977E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30952E-05	0	0	1.15331E-05	0	0	0	0	0	0	0	0	0	0	8.44395E-05	0	0	0	0	0	0	0	0	0	0	0	1.76816E-05	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0	0	3.41571E-05	0	0	0	1.67459E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76655E-05	0	0	0	0	0	0	0	0	0	3.90427E-05	0	0	0	0	0	0	1.61184E-05	0	1.7995E-05	1.44319E-05	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella	0	0	3.41571E-05	0	0	0	1.67459E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89462E-05	1.90473E-05	0	0	0	0	0	0	0	4.83551E-05	0	0	0	6.45669E-06	2.4373E-05	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus	0	4.09954E-05	0	0	0	0	0	0	0	0	0	0	0	1.74471E-05	0	0	1.518E-05	1.89692E-05	0	0	6.46803E-05	0	3.45993E-05	0	5.12803E-05	0	0	0	0	0	1.89462E-05	1.90473E-05	1.95213E-05	0	0	0	0	0	0	0	0	0	2.88638E-05	0	2.4373E-05	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Parabacteroides	0.006000594	0.000840405	0.000444042	0.001395187	0.000227816	0.00454784	0.005124255	0.002278596	0.001998916	0.001597689	0.001633072	0.001164113	0.001511434	0.000314048	0.003184769	0.000382515	0.003400328	0.002503936	0.000978561	0.003371902	0.000646803	0.00556483	0.001926027	0.001745062	0.001282007	0.001247529	0.002445939	0.002097257	0.00116225	0.001143843	0.000625225	0.001923773	0.000331863	0.004171311	0.00103125	0.000836302	0.001364949	0.002726094	0.000992222	0.000870392	0.003731547	0.00079178	0.006941738	0.001898268	0.001754856	0.002457741	0.000874616
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95213E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.76816E-05	1.65022E-05
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|p-75-a5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Slackia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12508E-05	0	0	2.96534E-05	0	0	2.31868E-05	0	0	0	0	2.77948E-05	0	0	0	0	1.90473E-05	0	0	0	0	0	0	1.60036E-05	0	3.64053E-05	0	0	1.29134E-05	0	0	0
Bacteria|Firmicutes|Clostridia	0	2.04977E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium	0	0.019698274	0.008351408	0	0	0	0	0	0.00501423	0	0	0	0	0	0	0.003123871	0	0	0	0	0	0	0.000138397	0	0	0	0	0	0	0	0.003883973	0	0	0	0	0	0	0	0	0.002611176	0	0.013100358	0	0	0	0	0
