""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"
"vOTU_128005"	2.01266696084712	-3.03702991232476	2.98024556534022	-1.01905357989454	0.308177530291959	0.667014380631911	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_12881"	25608.0086722882	1.04195233272148	0.821265917032644	1.26871493277866	0.204542754570717	0.599516042740934	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_128881"	63.8114482633043	3.37175221682902	1.4327004628016	2.35342439286693	0.0186013903034475	0.149441678031087	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_12893"	26162.1976165919	0.842916339046265	0.826206440265818	1.02022484692212	0.307621836194582	0.667014380631911	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_12903"	7527.04783428703	0.625599983573062	0.836095569937901	0.748239801844097	0.454315527379326	0.797576148065927	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_12932"	0.606478037510529	2.72372280550542	2.3737848257796	1.14741773387606	0.251209015338614	0.633367411013315	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_129697"	21.8237128386999	0.639153154087045	1.35459689464258	0.471840114660597	0.637040915525739	0.876104484088558	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_12999"	5917.30998169986	-0.502912974832661	0.952126408398849	-0.528199796157728	0.597360670865063	0.86830066077019	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13089"	0.856947964096469	0.498369358957441	2.14162699950319	0.232705956300071	0.815989743722	0.933501570010099	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_131377"	2.06386572388382	-0.373226632261513	2.15152395094558	-0.173470823830468	0.862281359399446	0.953552619217169	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_131400"	13.5962539941144	7.19896233754277	1.55910891977546	4.61735690575072	0.00000388658501666163	0.000368448259579523	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_1316"	63.6446618881692	-2.60484470097124	1.21452831563846	-2.144737728574	0.0319738225376032	0.192656266085624	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_132"	11.583148325254	0.910296487890848	0.948829399082939	0.959388999508939	0.337362814750635	0.688613944273684	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_132005"	0	0	0	0	1	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_13204"	375.896888881309	0.980514784095274	1.19054235982629	0.823586641838042	0.410174468643044	0.761923013460915	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13205"	259.215953587324	-0.333928459545241	1.0506100656225	-0.317842433146103	0.750604461428759	0.933501570010099	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13207"	707.676839663497	0.814902434058059	1.3363599232801	0.609792631357785	0.541999183330534	0.842348776068412	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13244"	1406.58823060601	0.76337636027821	1.32842992036473	0.574645563590301	0.565531030275893	0.853699708123481	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13248"	1701.59244088246	0.698573314365103	1.35621426590507	0.515090669614	0.606489662390651	0.86830066077019	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13268"	37359.8040796527	1.30317954386962	0.860862821014358	1.5138062790702	0.130074979615151	0.466287956227652	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13272"	24366.2269771553	1.17123168548669	0.78115179610014	1.49936502909422	0.133778960691519	0.469712795316887	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13310"	55.2955705027982	1.30117514379046	1.0246525466858	1.26986962360954	0.204131075065859	0.599516042740934	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_13325"	5.88006049086246	0.0445163005044578	1.09649561584853	0.0405987035981066	0.967615817685041	0.986343865769268	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_13342"	8.12024986815798	-3.42098644105369	1.55851385740442	-2.19503113482165	0.0281613644224372	0.188625863917492	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_133790"	1046.39949635786	-3.00566164580653	1.91758048690056	-1.56742398368095	0.117015621590974	0.443723237072973	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_13392"	768.821126562914	-0.711712978793525	0.80550809350312	-0.883557824600267	0.376934954651526	0.744446535436764	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_1340"	1.02537426858765	-2.0255151767662	1.95218619885294	-1.03756249171127	0.299473787888597	0.663079814911079	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_13409"	32.6129265230677	0.00836615166501553	0.962416457774638	0.00869286014119115	0.993064188455946	0.999298780277049	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_13419"	1396.58325634746	0.692265124100957	0.889490803815297	0.778271254892823	0.436409117780654	0.783552734197083	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_1342"	2.86187458490199	-2.4926493398716	1.92079872474661	-1.29771501186332	0.194385283208537	0.590632206672092	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_13420"	33.6017848901184	8.50362817659838	1.72793147118313	4.9212762881018	0.000000859816471720544	0.00010533391210474	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_13428"	2383.36868131478	1.28803080144568	0.901861484885992	1.42819138307974	0.153236780151859	0.515136409872205	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
